variable,vacc,vacc_lwr,vacc_upr,nvacc,nvacc_lwr,nvac_upr,nunv,nunv_lwr,nunv_upr
population,0.6182,0.4479,0.7684,972161.1409,704410.5596,1208424.838,600432.6292,868183.2106,364168.9327
density,0,0,0,0,0,0,0,0,0
travel,0,0,0,0,0,0,0,0,0
education,0.7769,0.5785,0.9023,1221825.933,909752.3759,1418939.162,350767.8371,662841.3943,153654.6087
wealth,0,0,0,0,0,0,0,0,0
HCsought,0,0,0,0,0,0,0,0,0
HCgvt,0,0,0,0,0,0,0,0,0
state,0.6183,0.4478,0.7687,972372.6206,704148.7969,1208915.679,600221.1496,868444.9732,363678.0909
